,Event,R,Rn,Ry
2721,MIN.UNC_C_RxR_ISMQ_RETRY.WB_CREDITS,0.9984139571768438,0.9979253112033195,0.998485307482581
2722,MIN.UNC_C_RxR_OCCUPANCY.IPQ,0.9949775310600053,0.9854771784232366,0.9963647379581945
2723,MIN.UNC_C_RxR_OCCUPANCY.IRQ,0.9976209357652657,1.0,0.9972735534686459
2724,MIN.UNC_C_RxR_OCCUPANCY.IRQ_REJ,0.9944488501189532,0.9937759336099585,0.9945471069372918
2725,MIN.UNC_C_RxR_OCCUPANCY.IRQ_REJECTED,0.9962992334126355,0.9937759336099585,0.9966676764616783
2726,MIN.UNC_C_RxR_OCCUPANCY.VFIFO,0.9944488501189532,0.9937759336099585,0.9945471069372918
2727,MIN.UNC_C_TOR_INSERTS.ALL,0.7972508591065293,0.91701244813278,0.7797637079672827
2728,MIN.UNC_C_TOR_INSERTS.EVICTION,0.6463124504361618,0.7531120331950207,0.6307179642532565
2729,MIN.UNC_C_TOR_INSERTS.LOCAL,0.9074808353158869,0.966804979253112,0.8988185398364132
2730,MIN.UNC_C_TOR_INSERTS.MISS_LOCAL,0.6664023261961406,0.7946058091286307,0.647682520448349
2731,MIN.UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE,1.0,1.0,1.0
2732,MIN.UNC_C_TOR_INSERTS.MISS_REMOTE,0.6441977266719535,0.7551867219917012,0.6279915177219024
2733,MIN.UNC_C_TOR_INSERTS.NID_ALL,0.654507005022469,0.8049792531120332,0.6325355952741594
2734,MIN.UNC_C_TOR_INSERTS.NID_MISS_ALL,0.654507005022469,0.7966804979253111,0.6337473492880945
2735,MIN.UNC_C_TOR_INSERTS.OPCODE,1.0,1.0,1.0
2736,MIN.UNC_C_TOR_INSERTS.REMOTE,0.7287866772402855,0.8070539419087137,0.7173583762496213
2737,MIN.UNC_C_TOR_INSERTS.WB,0.9883690192968544,0.9605809128630706,0.9924265374129052
2738,MIN.UNC_C_TOR_OCCUPANCY.ALL,0.7758392809939202,0.8879668049792531,0.7594668282338686
2739,MIN.UNC_C_TOR_OCCUPANCY.EVICTION,0.8464181866243722,0.9253112033195021,0.8348985156013329
2740,MIN.UNC_C_TOR_OCCUPANCY.LOCAL,0.7932857520486386,0.9232365145228216,0.7743108149045743
2741,MIN.UNC_C_TOR_OCCUPANCY.LOCAL_OPCODE,1.0,1.0,1.0
2742,MIN.UNC_C_TOR_OCCUPANCY.MISS_ALL,0.7063177372455723,0.8775933609958506,0.68130869433505
2743,MIN.UNC_C_TOR_OCCUPANCY.MISS_LOCAL,0.7105471847739889,0.8692946058091287,0.6873674644047258
2744,MIN.UNC_C_TOR_OCCUPANCY.MISS_REMOTE,0.8339941845096485,0.921161825726141,0.8212662829445623
2745,MIN.UNC_C_TOR_OCCUPANCY.NID_ALL,0.8617499339148824,0.950207468879668,0.8488336867615874
2746,MIN.UNC_C_TOR_OCCUPANCY.NID_EVICTION,0.8472112080359503,0.9149377593360996,0.8373220236292033
2747,MIN.UNC_C_TOR_OCCUPANCY.NID_MISS_ALL,0.8651863600317209,0.9605809128630706,0.8512571947894577
2748,MIN.UNC_C_TOR_OCCUPANCY.REMOTE,0.9212265397832408,0.941908713692946,0.9182066040593759
2749,MIN.UNC_C_TOR_OCCUPANCY.REMOTE_OPCODE,1.0,1.0,1.0
2750,MIN.UNC_C_TOR_OCCUPANCY.WB,0.9706582077716098,0.9605809128630706,0.9721296576794911
2751,MIN.UNC_C_TxR_ADS_USED.AD,0.809674861221253,0.9045643153526971,0.7958194486519237
2752,MIN.UNC_C_TxR_ADS_USED.AK,0.7591858313507798,0.7987551867219918,0.7534080581641927
2753,MIN.UNC_C_TxR_ADS_USED.BL,0.9733016124768702,0.975103734439834,0.9730384731899424
2754,MIN.UNC_C_TxR_INSERTS.AD_CACHE,0.6597938144329897,0.7759336099585062,0.6428355043926083
2755,MIN.UNC_C_TxR_INSERTS.AD_CORE,0.9878403383558023,0.9626556016597511,0.9915177219024538
2756,MIN.UNC_C_TxR_INSERTS.AK_CACHE,0.7634152788791964,0.8215767634854771,0.7549227506816116
2757,MIN.UNC_C_TxR_INSERTS.AK_CORE,0.7480835315886862,0.7759336099585062,0.744016964556195
2758,MIN.UNC_C_TxR_INSERTS.BL_CACHE,0.9836108908273856,1.0,0.9812178127840049
2759,MIN.UNC_C_TxR_INSERTS.BL_CORE,0.985196933650542,0.9564315352697096,0.9893971523780672
2760,MIN.UNC_C_TxR_INSERTS.IV_CACHE,0.7409463388844832,0.7883817427385892,0.73401999394123
2761,MIN.UNC_C_TxR_STARVED.AD_CORE,0.9455458630716362,0.966804979253112,0.9424416843380794
2762,MIN.UNC_H_ADDR_OPC_MATCH.AD,0.9875759978852763,0.983402489626556,0.9881853983641321
2763,MIN.UNC_H_ADDR_OPC_MATCH.AK,0.6219931271477663,0.6327800829875518,0.6204180551348076
2764,MIN.UNC_H_ADDR_OPC_MATCH.BL,0.7956648162833729,0.6639004149377593,0.8149045743714026
2765,MIN.UNC_H_ADDR_OPC_MATCH.FILT,0.999735659529474,1.0,0.9996970614965162
2766,MIN.UNC_H_ADDR_OPC_MATCH.OPC,0.999735659529474,1.0,0.9996970614965162
